Batch ref,Penicllin_harvested_during_batch(kg),Penicllin_harvested_end_of_batch (kg),Penicllin_yield_total (kg),Fault ref(0-NoFault 1-Fault)
1,1220.6,2651.7,3872.2,0
2,918.84,1176.7,2095.5,0
3,1108.1,1694.5,2802.6,0
4,1034.9,1563.8,2598.7,0
5,903.52,1225.9,2129.5,0
6,955.51,1237.7,2193.2,0
7,1155.6,2512.4,3668,0
8,955.51,1237.7,2193.2,0
9,1107.9,2689.8,3797.7,0
10,880.46,1198,2078.5,0
11,1183.7,2618.8,3802.5,0
12,1197.9,2603.7,3801.5,0
13,1144.3,2472,3616.3,0
14,1147.1,2429.7,3576.7,0
15,1102.3,2510.6,3612.9,0
16,1177.4,2414.4,3591.9,0
17,1150.8,2434.8,3585.6,0
18,1228.2,2604.7,3832.9,0
19,782.82,888.97,1671.8,0
20,1229.2,2674.3,3903.6,0
21,839.22,1156.8,1996,0
22,1097.2,2270,3367.2,0
23,1184.4,2363.8,3548.2,0
24,1034.7,1592.3,2627,0
25,903.56,1091.3,1994.9,0
26,871.91,1059.2,1931.1,0
